Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2000-01-01,05:58:20,-60.722,153.67,Earthquake,10.0,,,6.0,MWC,,,,,,1.05,USP0009KKB,US,US,HRV,Reviewed
2000-01-02,12:14:39,-17.943,-178.476,Earthquake,582.3,,,5.5,MWC,,,,,,0.87,USP0009KND,US,US,HRV,Reviewed
2000-01-02,12:58:42,51.447,-175.558,Earthquake,33.0,,,5.8,MWC,,,,,,0.98,USP0009KNG,US,US,HRV,Reviewed
2000-01-02,15:16:32,-20.771,-174.236,Earthquake,33.0,,,5.8,MWB,,,,,,1.32,USP0009KNU,US,US,US,Reviewed
2000-01-05,07:32:19,-20.964,-174.097,Earthquake,33.0,,,5.6,MWC,,,,,,0.91,USP0009KS3,US,US,HRV,Reviewed
2000-01-05,07:40:41,-11.371,165.378,Earthquake,33.0,,,6.1,MWC,,,,,,0.92,USP0009KS4,US,US,HRV,Reviewed
2000-01-05,08:41:40,-11.462,165.413,Earthquake,33.0,,,5.5,MWC,,,,,,1.05,USP0009KS5,US,US,HRV,Reviewed
2000-01-05,09:45:19,32.222,92.7,Earthquake,33.0,,,5.5,MWC,,,,,,0.82,USP0009KS9,US,US,HRV,Reviewed
2000-01-05,17:55:11,-56.103,-58.442,Earthquake,10.0,,,5.6,MWC,,,,,,1.03,USP0009KSW,US,US,HRV,Reviewed
2000-01-05,18:26:08,-9.195,109.592,Earthquake,33.0,,,5.8,MWC,,,,,,1.24,USP0009KSY,US,US,HRV,Reviewed
2000-01-06,10:42:25,58.04,-136.87,Earthquake,1.0,,,6.1,MWC,,,,,,,USP0009KTQ,US,PGC,HRV,Reviewed
2000-01-06,21:31:06,16.095,119.484,Earthquake,33.0,,,6.2,MWC,,,,,,1.51,USP0009KUB,US,US,HRV,Reviewed
2000-01-07,23:37:20,-54.326,-55.126,Earthquake,10.0,,,5.5,MWC,,,,,,1.12,USP0009KVK,US,US,HRV,Reviewed
2000-01-08,01:19:47,-9.805,159.811,Earthquake,33.0,,,6.4,MWC,,,,,,1.3,USP0009KVR,US,US,HRV,Reviewed
2000-01-08,03:44:54,-6.746,105.646,Earthquake,61.7,4.7,,5.6,MWC,,,,,,1.0,USP0009KW1,US,US,HRV,Reviewed
2000-01-08,11:59:22,-23.169,-70.122,Earthquake,36.0,,,6.4,MWB,,,,,,1.14,USP0009KWJ,US,US,US,Reviewed
2000-01-08,16:47:21,-16.925,-174.248,Earthquake,183.4,,,7.2,MWC,,,,,,1.25,USP0009KX3,US,US,HRV,Reviewed
2000-01-09,10:48:31,-2.476,140.35,Earthquake,10.0,,,5.5,MWC,,,,,,0.92,USP0009KYD,US,US,HRV,Reviewed
