Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2015-01-02,08:21:56,6.5739,60.3653,Earthquake,10.0,1.9,,5.5,MWC,,,56.0,8.627,5.8,0.88,USC000TB8R,US,US,GCMT,Reviewed
2015-01-05,17:48:42,-43.0546,171.2364,Earthquake,8.06,2.7,,5.6,MWW,,,44.0,0.646,4.5,1.24,USC000TBVE,US,US,US,Reviewed
2015-01-06,22:09:13,55.2049,163.2446,Earthquake,10.0,1.8,,5.6,MWB,0.035,78.0,73.0,3.476,7.5,0.63,USC000TC8Q,US,US,US,Reviewed
2015-01-07,05:07:08,5.9045,-82.6576,Earthquake,8.0,1.8,,6.5,MWW,,,61.0,4.318,7.3,1.17,USC000TCBA,US,US,US,Reviewed
2015-01-08,14:56:31,-61.6118,161.3346,Earthquake,10.0,1.7,,5.7,MWB,0.071,19.0,37.0,7.244,11.4,0.77,USC000TD4A,US,US,US,Reviewed
2015-01-10,02:05:46,-5.655,68.3613,Earthquake,10.0,1.7,,5.6,MWW,,,40.0,4.423,9.2,0.7,USC000TEEH,US,US,US,Reviewed
2015-01-10,17:55:03,-21.6328,-68.5339,Earthquake,108.78,3.3,,5.5,MWW,,,30.0,0.678,5.6,1.13,USC000TEIL,US,US,US,Reviewed
2015-01-10,19:32:00,14.7709,120.2456,Earthquake,59.0,1.0,,5.9,MWW,,,21.0,8.042,7.4,0.72,USC000TEJF,US,US,US,Reviewed
2015-01-12,07:57:27,15.4767,-93.3808,Earthquake,75.0,1.8,,5.5,MWW,,,47.0,0.275,5.7,1.25,USC000TES3,US,US,US,Reviewed
2015-01-12,20:25:14,-5.587,133.9223,Earthquake,20.91,3.0,,5.6,MWW,,,18.0,3.131,6.3,0.82,USC000TEWZ,US,US,US,Reviewed
2015-01-17,18:41:43,-22.237,-63.1461,Earthquake,557.17,4.9,,5.6,MWW,,,26.0,5.347,9.0,1.15,USC000TGSW,US,US,US,Reviewed
2015-01-17,23:39:52,-5.7726,131.8634,Earthquake,56.76,4.6,,5.5,MWW,,,36.0,2.266,6.8,0.78,USC000TGVB,US,US,US,Reviewed
2015-01-18,04:47:38,51.9238,179.578,Earthquake,102.0,1.7,,5.5,MWW,,,24.0,0.026,6.5,0.75,USC000TGW6,US,US,US,Reviewed
2015-01-18,23:13:37,-35.4555,-105.7571,Earthquake,8.32,3.6,,5.7,MWW,,,76.0,8.847,11.1,0.93,USC000TH1C,US,US,US,Reviewed
2015-01-19,17:19:46,4.6079,119.7571,Earthquake,11.0,1.7,,5.5,MWW,,,23.0,1.376,5.9,0.74,USC000TH7M,US,US,US,Reviewed
2015-01-20,06:59:52,14.9801,-91.4588,Earthquake,154.0,1.8,,5.5,MWW,,,27.0,0.338,6.2,1.2,USC000THE9,US,US,US,Reviewed
2015-01-21,20:08:34,-5.6549,146.3279,Earthquake,49.0,1.8,,5.7,MWW,,,12.0,3.734,6.2,1.05,USC000THWT,US,US,US,Reviewed
2015-01-23,03:47:27,-17.0309,168.52,Earthquake,219.96,1.1,,6.8,MWW,,,13.0,2.019,7.7,0.71,USC000TIHY,US,US,US,Reviewed
2015-01-26,17:44:53,-54.6751,-136.7703,Earthquake,10.0,1.9,,5.6,MWC,,9.0,155.0,35.495,14.6,0.63,USC000TLAK,US,US,GCMT,Reviewed
2015-01-27,00:53:19,1.3368,97.2402,Earthquake,12.58,2.6,,5.7,MWW,,,25.0,0.336,6.8,1.08,USB000TII2,US,US,US,Reviewed
2015-01-28,02:43:19,-20.9665,-178.3032,Earthquake,484.12,3.8,,6.2,MWW,,,19.0,4.701,8.9,1.11,USB000TISM,US,US,US,Reviewed
2015-01-28,21:08:54,40.3178333,-124.6066667,Earthquake,17.17,0.33,52.0,5.73,MW,,14.0,230.0,0.2465,0.54,0.13,NC72387946,NC,NC,NC,Reviewed
2015-01-29,03:49:35,-19.2852,-174.171,Earthquake,39.77,4.0,,5.6,MWB,0.046,46.0,22.0,4.016,8.0,0.7,USC000TJZJ,US,US,US,Reviewed
2015-01-30,17:57:56,-21.2452,170.158,Earthquake,7.08,3.0,,6.0,MWW,,,21.0,3.551,4.1,1.06,USC000TKER,US,US,US,Reviewed
2015-01-31,12:29:31,15.241,147.1244,Earthquake,5.0,1.7,,5.5,MWW,,,12.0,1.279,8.0,0.83,USC000TKKW,US,US,US,Reviewed
2015-02-01,11:41:46,-12.3801,166.7543,Earthquake,176.66,4.0,,5.5,MWB,0.089,12.0,28.0,3.079,9.2,0.57,USC000TKQD,US,US,US,Reviewed
2015-02-01,13:34:03,-21.2735,170.2648,Earthquake,7.64,3.2,,5.7,MWW,,,49.0,3.641,7.5,0.83,USC000TKQS,US,US,US,Reviewed
2015-02-01,20:02:21,-49.3181,-8.1198,Earthquake,10.0,1.9,,5.6,MWC,,,112.0,22.56,11.8,1.12,USC000TKSD,US,US,GCMT,Reviewed
2015-02-02,08:25:49,-1.539,145.2141,Earthquake,14.0,1.7,,5.9,MWW,,,12.0,2.208,6.8,0.73,USC000TKWL,US,US,US,Reviewed
2015-02-02,10:49:49,-32.7183,-67.1231,Earthquake,172.0,1.8,,6.3,MWW,,,16.0,1.766,7.4,1.0,USC000TKWV,US,US,US,Reviewed
2015-02-03,07:16:54,52.2224,-168.6035,Earthquake,14.0,1.7,,5.5,MWW,,,55.0,0.766,4.3,1.08,USC000TL6W,US,US,US,Reviewed
2015-02-04,08:20:44,-25.7381,-175.8779,Earthquake,19.0,1.8,,5.5,MWB,0.035,80.0,52.0,3.939,8.6,1.25,USC000TLGC,US,US,US,Reviewed
