Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2010-01-02,08:45:33,12.424,141.949,Earthquake,8.0,,234.0,6.1,MWB,,,30.1,,,1.15,USP000H5M6,US,US,US,Reviewed
2010-01-03,04:11:39,-5.297,145.859,Earthquake,34.0,,193.0,5.8,MWC,,,16.0,,,0.97,USP000H5MT,US,US,US,Reviewed
2010-01-03,20:39:13,-8.802,-77.718,Earthquake,116.8,,386.0,5.7,MWB,,,42.4,,,1.2,USP000H5NA,US,US,US,Reviewed
2010-01-03,21:48:03,-8.726,157.487,Earthquake,10.0,,282.0,6.6,MWC,,,16.6,,,1.24,USP000H5ND,US,US,US,Reviewed
2010-01-03,22:36:26,-8.783,157.354,Earthquake,10.0,,377.0,7.1,MWC,,,15.0,,,1.09,USP000H5NP,US,US,GCMT,Reviewed
2010-01-04,04:17:51,-8.917,157.606,Earthquake,30.2,11.9,204.0,5.6,MWC,,,20.0,,,0.85,USP000H5PG,US,US,GCMT,Reviewed
2010-01-04,11:28:20,-8.375,157.087,Earthquake,15.0,,274.0,5.8,MWC,,,19.9,,,0.82,USP000H5Q5,US,US,GCMT,Reviewed
2010-01-05,04:55:39,-58.173,-14.695,Earthquake,13.0,,198.0,6.8,MWC,,,44.0,,,1.19,USP000H5RA,US,US,US,Reviewed
2010-01-05,12:15:32,-9.019,157.551,Earthquake,15.4,14.2,338.0,6.8,MWC,,,15.0,,,1.16,USP000H5RN,US,US,US,Reviewed
2010-01-05,13:11:43,-9.05,157.892,Earthquake,35.0,,117.0,6.0,MWC,,,18.3,,,1.21,USP000H5RX,US,US,US,Reviewed
2010-01-05,13:13:02,-8.89,158.032,Earthquake,23.4,29.7,32.0,5.7,MB,,5.0,62.2,,,1.2,USP000H5RY,US,US,US,Reviewed
2010-01-06,09:48:46,-49.789,164.192,Earthquake,10.0,,52.0,5.7,MWB,,,122.9,,,1.46,USP000H5SY,US,US,US,Reviewed
2010-01-06,16:38:36,-41.605,-16.568,Earthquake,10.0,,92.0,5.6,MWC,,,53.6,,,0.87,USP000H5T4,US,US,US,Reviewed
2010-01-06,17:27:55,-4.405,151.746,Earthquake,199.6,,262.0,5.6,MWC,,,12.3,,,0.85,USP000H5T7,US,US,GCMT,Reviewed
2010-01-07,08:29:06,-53.516,159.28,Earthquake,10.0,,88.0,5.6,MWC,,,51.5,,,1.15,USP000H5TT,US,US,US,Reviewed
2010-01-09,05:51:30,-9.131,157.626,Earthquake,12.0,,266.0,6.2,MWC,,,27.8,,,1.24,USP000H5VU,US,US,US,Reviewed
2010-01-10,00:27:39,40.652,-124.6925,Earthquake,28.737,1.31,51.0,6.5,MW,,8.0,220.0,0.3225,0.55,0.2,NC71338066,NC,NC,NC,Reviewed
2010-01-12,10:58:14,-5.417,133.731,Earthquake,35.0,,98.0,5.5,MWB,,,30.8,,,1.0,USP000H5ZW,US,US,US,Reviewed
2010-01-12,21:53:10,18.443,-72.571,Earthquake,13.0,,500.0,7.0,MWC,,,22.7,,,0.97,USP000H60H,US,US,US,Reviewed
