Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2016-01-01,02:00:40,-50.5575,139.4489,Earthquake,10.0,1.6,,6.3,MWW,,,19.0,9.361,6.9,0.88,US10004ANT,US,US,US,Reviewed
2016-01-01,15:02:17,-28.6278,-177.281,Earthquake,34.0,1.2,,5.8,MWW,,,62.0,0.837,7.8,1.28,US10004AQY,US,US,US,Reviewed
2016-01-02,04:22:20,44.8069,129.9406,Earthquake,585.47,3.6,,5.8,MWW,,,12.0,0.311,8.1,0.89,US10004ATB,US,US,US,Reviewed
2016-01-03,23:05:22,24.8036,93.6505,Earthquake,55.0,1.8,,6.7,MWW,,,16.0,1.794,4.5,1.01,US10004B2N,US,US,US,Reviewed
2016-01-05,02:21:11,30.6132,132.7337,Earthquake,4.71,3.2,,5.8,MWW,,,29.0,2.151,2.0,0.48,US10004BEN,US,US,US,Reviewed
2016-01-05,09:34:15,-54.2906,-136.2603,Earthquake,10.0,1.8,,6.0,MWW,,,71.0,30.75,12.8,0.67,US10004BGK,US,US,US,Reviewed
2016-01-05,21:59:50,22.0669,143.6108,Earthquake,158.0,1.8,,5.7,MWW,,,9.0,5.172,7.8,0.9,US10004BM0,US,US,US,Reviewed
2016-01-08,01:12:01,-30.664,-71.6383,Earthquake,24.03,3.0,,5.7,MWW,,,76.0,0.01,4.6,0.79,US10004C96,US,US,US,Reviewed
2016-01-10,12:12:02,-57.6576,-147.9486,Earthquake,4.0,1.7,,5.6,MWB,0.075,17.0,48.0,32.49,13.0,0.95,US10004DAM,US,US,US,Reviewed
2016-01-11,16:38:06,3.8965,126.8621,Earthquake,13.0,1.5,,6.5,MWW,,,22.0,3.144,4.2,0.72,US10004DJ5,US,US,US,Reviewed
2016-01-11,17:08:04,44.4761,141.0867,Earthquake,238.81,4.1,,6.2,MWW,,,33.0,1.139,6.9,0.96,US10004DJN,US,US,US,Reviewed
2016-01-12,09:45:11,-31.3385,58.1916,Earthquake,10.0,1.7,,5.9,MWW,,,16.0,10.361,8.9,1.11,US10004DQH,US,US,US,Reviewed
2016-01-12,20:05:00,36.5979,70.9503,Earthquake,239.0,1.8,,5.7,MWW,,,20.0,0.606,6.0,1.07,US10004DTM,US,US,US,Reviewed
2016-01-13,05:56:02,-15.1703,-174.875,Earthquake,263.0,1.9,,5.9,MWW,,,20.0,3.251,8.7,1.13,US10004DXR,US,US,US,Reviewed
2016-01-14,03:25:28,-19.7597,-63.3288,Earthquake,582.56,4.6,,6.1,MWW,,,16.0,5.492,7.9,1.04,US10004EBW,US,US,US,Reviewed
2016-01-14,03:25:34,41.9723,142.781,Earthquake,46.0,1.9,,6.7,MWW,,,22.0,0.281,6.2,0.98,US10004EBX,US,US,US,Reviewed
2016-01-14,11:04:19,-15.6408,-177.1557,Earthquake,10.0,1.8,,5.6,MWB,0.065,23.0,38.0,5.045,9.4,1.35,US10004EFN,US,US,US,Reviewed
