Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2006-01-01,07:11:57,31.394,140.131,Earthquake,10.0,,143.0,5.6,MWB,,,98.9,,,1.35,USP000E7B5,US,US,US,Reviewed
2006-01-01,08:47:13,4.735,95.144,Earthquake,51.5,,276.0,5.5,MWB,,,25.9,,,0.73,USP000E7B6,US,US,US,Reviewed
2006-01-02,01:01:24,12.361,144.31,Earthquake,35.2,,196.0,5.7,MWB,,,32.3,,,1.09,USP000E7CV,US,US,US,Reviewed
2006-01-02,06:10:50,-60.957,-21.606,Earthquake,13.0,,271.0,7.4,MWC,,,18.8,,,1.28,USP000E7DD,US,US,HRV,Reviewed
2006-01-02,12:01:46,-4.883,152.343,Earthquake,62.4,,162.0,5.6,MWC,,,33.3,,,0.82,USP000E7DT,US,US,HRV,Reviewed
2006-01-02,22:13:40,-19.926,-178.178,Earthquake,582.9,,646.0,7.2,MWC,,,18.7,,,1.11,USP000E7F0,US,US,HRV,Reviewed
2006-01-03,12:27:58,13.841,145.287,Earthquake,78.2,,226.0,5.8,MWB,,,26.5,,,0.94,USP000E7GY,US,US,US,Reviewed
2006-01-04,08:32:32,28.164,-112.117,Earthquake,14.0,,323.0,6.6,MWC,,,48.2,,,1.25,USP000E7JP,US,US,HRV,Reviewed
2006-01-04,13:01:33,-22.855,-66.172,Earthquake,242.8,,138.0,5.5,MWC,,,50.5,,,0.99,USP000E7K8,US,US,HRV,Reviewed
2006-01-05,08:40:46,-56.552,-24.954,Earthquake,10.0,,68.0,5.7,MWC,,,72.2,,,1.22,USP000E7MY,US,US,HRV,Reviewed
2006-01-06,03:39:59,6.635,-82.337,Earthquake,7.4,10.4,385.0,6.1,MWB,,,52.9,,,1.05,USP000E7PH,US,US,US,Reviewed
2006-01-07,02:23:44,52.415,173.613,Earthquake,30.8,,467.0,5.5,MWB,,,70.6,,,0.72,USP000E7RQ,US,US,US,Reviewed
2006-01-08,11:34:56,36.311,23.212,Earthquake,66.0,,769.0,6.7,MWB,,,19.7,,,1.34,USP000E7U3,US,US,US,Reviewed
2006-01-10,01:09:34,37.057,-14.133,Earthquake,10.0,,355.0,5.5,MWC,,,25.9,,,1.47,USP000E7YD,US,US,HRV,Reviewed
2006-01-11,10:02:33,43.507,-127.266,Earthquake,10.0,,149.0,5.6,MWB,,,115.6,,,0.98,USP000E81B,US,US,US,Reviewed
2006-01-15,11:58:29,-7.826,122.597,Earthquake,264.8,,339.0,6.1,MWB,,,39.1,,,0.99,USP000E896,US,US,US,Reviewed
2006-01-18,14:25:28,37.774,142.131,Earthquake,25.8,7.4,372.0,5.7,MWB,,,47.9,,,0.72,USP000E8EJ,US,US,US,Reviewed
2006-01-18,23:43:06,-36.411,-100.496,Earthquake,10.0,,86.0,5.8,MWB,,,106.6,,,1.48,USP000E8F8,US,US,US,Reviewed
2006-01-20,08:53:53,31.066,-41.422,Earthquake,10.0,,464.0,5.7,MWC,,,60.6,,,0.75,USP000E8H8,US,US,HRV,Reviewed
2006-01-20,17:51:52,-22.399,173.967,Earthquake,10.0,,145.0,5.7,MWB,,,44.4,,,1.21,USP000E8J0,US,US,US,Reviewed
2006-01-21,04:07:04,13.002,93.245,Earthquake,44.0,,577.0,5.6,MWB,,,20.4,,,0.75,USP000E8JV,US,US,US,Reviewed
2006-01-23,06:02:58,-17.391,167.715,Earthquake,23.0,,284.0,6.4,MWC,,,25.8,,,1.49,USP000E8QF,US,US,HRV,Reviewed
2006-01-23,13:16:35,-25.326,178.316,Earthquake,592.7,6.2,231.0,5.6,MWC,,,23.1,,,1.12,USP000E8R1,US,US,HRV,Reviewed
2006-01-23,20:50:45,6.864,-77.793,Earthquake,14.0,,552.0,6.2,MWB,,,45.5,,,0.87,USP000E8RG,US,US,US,Reviewed
2006-01-23,20:52:30,6.847,-77.974,Earthquake,10.0,,55.0,5.5,MB,,43.0,145.2,,,0.66,USP000E8RH,US,US,US,Reviewed
2006-01-24,04:27:08,-54.16,-135.746,Earthquake,10.0,,20.0,5.5,MWC,,,100.8,,,1.54,USP000E8S7,US,US,HRV,Reviewed
2006-01-26,01:16:16,-30.688,-177.791,Earthquake,10.0,,138.0,5.6,MWC,,,36.3,,,1.07,USP000E8VJ,US,US,HRV,Reviewed
2006-01-26,10:43:26,-65.417,179.489,Earthquake,10.0,0.0,10.0,5.6,MWC,,,98.1,,,1.45,USP000E8W6,US,US,HRV,Reviewed
2006-01-27,16:58:54,-5.473,128.131,Earthquake,397.0,,560.0,7.6,MWC,,,22.3,,,0.88,USP000E8YS,US,US,HRV,Reviewed
2006-01-28,01:53:05,-5.055,104.154,Earthquake,21.4,,63.0,5.7,MWC,,,54.1,,,1.37,USP000E8ZT,US,US,HRV,Reviewed
2006-01-31,19:15:52,2.703,96.073,Earthquake,20.0,,308.0,5.9,MWB,,,27.2,,,0.88,USP000E974,US,US,US,Reviewed
2006-02-02,07:13:11,-21.178,169.609,Earthquake,44.7,,142.0,5.6,MWB,,,39.5,,,1.03,USP000E9AC,US,US,US,Reviewed
2006-02-02,12:48:43,-17.747,-178.39,Earthquake,597.5,,644.0,6.7,MWB,,,19.5,,,1.0,USP000E9AQ,US,US,US,Reviewed
2006-02-03,04:37:36,36.156,141.449,Earthquake,28.0,,346.0,5.7,MWB,,,31.6,,,0.95,USP000E9CG,US,US,US,Reviewed
2006-02-03,16:00:12,-16.361,-173.747,Earthquake,82.4,,275.0,5.6,MWC,,,31.2,,,0.75,USP000E9DG,US,US,HRV,Reviewed
2006-02-03,20:34:11,11.86,92.372,Earthquake,19.0,,442.0,6.1,MWC,,,18.4,,,0.89,USP000E9DN,US,US,HRV,Reviewed
2006-02-04,09:17:04,1.093,-90.46,Earthquake,10.0,,169.0,5.9,MWB,,,80.7,,,1.24,USP000E9EX,US,US,US,Reviewed
2006-02-05,08:17:01,66.297,-142.686,Earthquake,9.2,,286.0,5.5,MWB,,,25.4,,,,USP000E9HD,US,AEIC,US,Reviewed
2006-02-06,03:04:04,-6.05,150.013,Earthquake,34.9,,126.0,5.6,MWB,,,24.1,,,1.05,USP000E9KP,US,US,US,Reviewed
2006-02-06,05:51:33,56.188,164.198,Earthquake,24.9,,224.0,5.7,MWB,,,78.6,,,1.01,USP000E9M0,US,US,US,Reviewed
2006-02-07,10:14:27,-18.235,168.09,Earthquake,59.1,8.9,131.0,5.6,MWC,,,35.3,,,1.04,USP000E9Q2,US,US,HRV,Reviewed
